place_name,state_ut,district,city_or_town,nearest_major_city,category
Kutch Desert Wildlife Sanctuary,Gujarat,Kutch,Dholavira,Bhuj,Wildlife
Vijay Vilas Palace,Gujarat,Kutch,Dholavira,Bhuj,Palace
Bhuj,Gujarat,Kutch,Dholavira,Bhuj,Heritage
Aina Mahal,Gujarat,Bhuj,Bhuj,Bhuj,Palace
Prag Mahal,Gujarat,Bhuj,Bhuj,Bhuj,Palace
Bhalka Tirth,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Heritage
Triveni Sangam Somnath,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Heritage
Bet Dwarka,Gujarat,Dwarka,Dwarka,Dwarka,Island
Nageshwar Jyotirlinga,Gujarat,Dwarka,Dwarka,Dwarka,Temple
Shivrajpur Beach,Gujarat,Dwarka,Dwarka,Dwarka,Beach
Sasan Gir,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Wildlife
Uparkot Fort,Gujarat,Junagadh,Sasan Gir,Junagadh,Fort
Somnath Beach,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Beach
Velavadar Blackbuck National Park,Gujarat,Bhavnagar,Palitana,Bhavnagar,Wildlife
Ahmedabad Old City,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Sardar Sarovar Dam,Gujarat,Narmada,Kevadia (Ekta Nagar),Vadodara,Lake
Pavagadh Hill,Gujarat,Panchmahal,Champaner,Vadodara,Heritage
Old Ahmedabad,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Beyt Dwarka,Gujarat,Dwarka,Dwarka,Dwarka,Island
Nageshwar Temple,Gujarat,Dwarka,Dwarka,Dwarka,Temple
Velavadar National Park,Gujarat,Bhavnagar,Palitana,Bhavnagar,Wildlife
Ahmedabad Riverfront,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Riverfront
White Desert (Great Rann of Kutch),Gujarat,Kutch,Dhordo,Bhuj,Nature
Great Rann of Kutch White Desert,Gujarat,Kutch,Dhordo,Bhuj,Nature
Dhordo Tent City (Rann Utsav),Gujarat,Kutch,Dhordo,Bhuj,Cultural
Kala Dungar (Black Hill Sunset Point),Gujarat,Kutch,Khavda,Bhuj,Mountain
Dholavira Harappan UNESCO World Heritage Site,Gujarat,Kutch,Dholavira,Bhuj,Archaeological
Vijay Vilas Palace Mandvi Beach,Gujarat,Kutch,Mandvi,Bhuj,Palace
Aina Mahal Palace of Mirrors Bhuj,Gujarat,Kutch,Bhuj,Bhuj,Palace
Prag Mahal Gothic Palace Bhuj,Gujarat,Kutch,Bhuj,Bhuj,Palace
Bhujodi Handloom Craft Village,Gujarat,Kutch,Bhujodi,Bhuj,Village
Chhari Dhand Wetland Conservation Reserve,Gujarat,Kutch,Nakhatrana,Bhuj,Wildlife
Lakhpat Fort & Ancient Port Town,Gujarat,Kutch,Lakhpat,Bhuj,Fort
Mata no Madh Ashapura Temple,Gujarat,Kutch,Lakhpat,Bhuj,Religious
Koteshwar Mahadev Temple Border Coast,Gujarat,Kutch,Koteshwar,Bhuj,Religious
Somnath Temple First Jyotirlinga,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Religious
Gir National Park (Asiatic Lion Sanctuary),Gujarat,Junagadh,Sasan Gir,Junagadh,Wildlife
Devalia Safari Park Gir,Gujarat,Junagadh,Sasan Gir,Junagadh,Wildlife
Uparkot Fort Junagadh,Gujarat,Junagadh,Junagadh,Junagadh,Fort
Mahabat Maqbara Junagadh,Gujarat,Junagadh,Junagadh,Junagadh,Heritage
Girnar Ropeway & Temple Peak,Gujarat,Junagadh,Junagadh,Junagadh,Religious
Dwarkadhish Jagat Mandir,Gujarat,Devbhumi Dwarka,Dwarka,Jamnagar,Religious
Bet Dwarka Island & Temple,Gujarat,Devbhumi Dwarka,Bet Dwarka,Jamnagar,Island
Nageshwar Jyotirlinga Temple,Gujarat,Devbhumi Dwarka,Daarukavanam,Jamnagar,Religious
Rukmini Devi Temple 12th Century,Gujarat,Devbhumi Dwarka,Dwarka,Jamnagar,Religious
Shivrajpur Blue Flag Beach,Gujarat,Devbhumi Dwarka,Shivrajpur,Jamnagar,Nature
Marine National Park Pirotan Island,Gujarat,Jamnagar,Jamnagar,Jamnagar,Wildlife
