place_name,state_ut,district,city_or_town,nearest_major_city,category
Chandigarh Bird Park (Exotic & Aquatic Aviaries),Chandigarh,Chandigarh,Sector 1,Chandigarh,Wildlife
Chandigarh Botanical Garden & Nature Reserve Sarangpur,Chandigarh,Chandigarh,Sarangpur,Chandigarh,Garden
Chandigarh War Memorial (Bougainvillea Garden Sector 3),Chandigarh,Chandigarh,Sector 3,Chandigarh,Monument
Children Traffic Park & Toy Train Park (Sector 23),Chandigarh,Chandigarh,Sector 23,Chandigarh,Amusement
City Bird Sanctuary (Parrot Bird Sanctuary Sector 21),Chandigarh,Chandigarh,Sector 21,Chandigarh,Wildlife
Gandhi Bhawan (Panjab University Sector 14),Chandigarh,Chandigarh,Sector 14,Chandigarh,Heritage
Garden of Conifers (Sector 52 Gymnosperm Forest),Chandigarh,Chandigarh,Sector 52,Chandigarh,Garden
Garden of Palms (Sector 42 Palm Arboretum),Chandigarh,Chandigarh,Sector 42,Chandigarh,Garden
Geometric Hill & Trench of Considerations,Chandigarh,Chandigarh,Sector 1,Chandigarh,Monument
Government Museum and Art Gallery,Chandigarh,Chandigarh,Sector 10,Chandigarh,Museum
Heritage Trees Circuit of Chandigarh,Chandigarh,Chandigarh,Citywide,Chandigarh,Garden
High Court Museum (Capitol Complex),Chandigarh,Chandigarh,Sector 1,Chandigarh,Museum
Historic Chandi Mandir / Chandi Devi Temple (Root of Chandigarh's Name),Chandigarh,Chandigarh,Chandi Mandir,Chandigarh,Temple
ISKCON Temple Chandigarh (Sector 36),Chandigarh,Chandigarh,Sector 36,Chandigarh,Temple
Indian Air Force Heritage Centre (Sector 18 Vintage Aviation),Chandigarh,Chandigarh,Sector 18,Chandigarh,Museum
International Dolls Museum (Bal Bhawan Sector 23),Chandigarh,Chandigarh,Sector 23,Chandigarh,Museum
Kalagram Cultural Village & Arts Centre (Manimajra),Chandigarh,Chandigarh,Manimajra,Chandigarh,Culture
Kansal Forest & Historic Inspection Log Hut,Chandigarh,Chandigarh,Kansal,Chandigarh,Wildlife
Leisure Valley Chandigarh,Chandigarh,Chandigarh,Sector 10,Chandigarh,Nature
Martyrs' Memorial Capitol Complex,Chandigarh,Chandigarh,Sector 1,Chandigarh,Monument
Museum of Evolution of Life (Sector 10 Cenozoic Galleries),Chandigarh,Chandigarh,Sector 10,Chandigarh,Museum
National Gallery of Portraits (Sector 17),Chandigarh,Chandigarh,Sector 17,Chandigarh,Museum
Natural History Museum (Sector 10 Dinosaurs & Human Evolution),Chandigarh,Chandigarh,Sector 10,Chandigarh,Museum
Neelam Theatre & Sector 17 Modernist Urban Arcade,Chandigarh,Chandigarh,Sector 17,Chandigarh,Heritage
Nepli Forest Reserve & Deep Forest Trails,Chandigarh,Chandigarh,Nepli,Chandigarh,Wildlife
New Lake Sector 42 (Waterfront Jogging Track),Chandigarh,Chandigarh,Sector 42,Chandigarh,Water Body
Palace of Justice (Punjab & Haryana High Court),Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Panjab University Heritage Campus & Student Centre,Chandigarh,Chandigarh,Sector 14,Chandigarh,Heritage
Patiala Ki Rao Nature Area & Forest Reserve,Chandigarh,Chandigarh,Western Green Belt,Chandigarh,Wildlife
Pierre Jeanneret Museum (Maison Jeanneret Sector 5),Chandigarh,Chandigarh,Sector 5,Chandigarh,Museum
Punjab and Haryana Vidhan Sabha (Legislative Assembly),Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Rag Dolls Museum (Nek Chand Village Collection),Chandigarh,Chandigarh,Sector 1,Chandigarh,Museum
Rajendra Park (Sector 1 Mango Grove & Equestrian Grounds),Chandigarh,Chandigarh,Sector 1,Chandigarh,Garden
Rock Garden Open-Air Amphitheatre & Courtyards,Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Rock Garden Waterfalls & Subterranean Archways,Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Rock Garden of Chandigarh,Chandigarh,Chandigarh,Sector 1,Chandigarh,Museum
Secretariat Building Chandigarh (Le Corbusier),Chandigarh,Chandigarh,Sector 1,Chandigarh,Heritage
Sector 17 Shopping Plaza & Musical Dancing Fountain,Chandigarh,Chandigarh,Sector 17,Chandigarh,Market
Shanti Kunj (Sector 16 Serene Green Oasis),Chandigarh,Chandigarh,Sector 16,Chandigarh,Garden
Shirdi Sai Baba Temple (Sector 29),Chandigarh,Chandigarh,Sector 29,Chandigarh,Temple
Shri Karthikeya Swami Temple (Sector 31),Chandigarh,Chandigarh,Sector 31,Chandigarh,Temple
Smriti Upavan (Sector 1 Memorial Grove),Chandigarh,Chandigarh,Sector 1,Chandigarh,Garden
Sukhna Lake (Man-Made Rainwater Lake & Promenade),Chandigarh,Chandigarh,Sector 1,Chandigarh,Water Body
Sukhna Lake Boating & Solar Cruise Pier,Chandigarh,Chandigarh,Sector 1,Chandigarh,Water Body
Sukhna Lake Nature Trail (Catchment Forest Track),Chandigarh,Chandigarh,Sector 1,Chandigarh,Wildlife
Tagore Theatre (Sector 18 Cultural Auditorium),Chandigarh,Chandigarh,Sector 18,Chandigarh,Culture
Terraced Garden (Sector 33 Chrysanthemum Pavilions),Chandigarh,Chandigarh,Sector 33,Chandigarh,Garden
Tower of Shadows (Capitol Complex),Chandigarh,Chandigarh,Sector 1,Chandigarh,Monument
Valley of Animals & Fitness Trail (Sector 49),Chandigarh,Chandigarh,Sector 49,Chandigarh,Garden
Zakir Hussain Rose Garden,Chandigarh,Chandigarh,Sector 16,Chandigarh,Garden
Elante Mall,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Butterfly Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Garden of Fragrance,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Garden of Silence,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Hibiscus Garden,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Japanese Garden,Chandigarh,Chandigarh,Mohali,Chandigarh,Recreation
Le Corbusier Centre,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Cultural
Open Hand Monument,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Sukhna Wildlife Sanctuary,Chandigarh,Chandigarh,Mohali,Chandigarh,Wildlife
Topiary Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
