id,city_name,district,state
236,Ranchi,Ranchi,Jharkhand
237,Bagalkot,Bagalkot,Karnataka
238,Belagavi,Belagavi,Karnataka
239,Belur,Belur,Karnataka
240,Bengaluru,Bengaluru,Karnataka
241,Bengaluru Rural,Bengaluru Rural,Karnataka
242,Bidar,Bidar,Karnataka
243,Chamarajanagar,Chamarajanagar,Karnataka
244,Chikkamagaluru,Chikkamagaluru,Karnataka
245,Chitradurga,Chitradurga,Karnataka
246,Dakshina Kannada,Dakshina Kannada,Karnataka
247,Davanagere,Davanagere,Karnataka
248,Dharwad,Dharwad,Karnataka
249,Gadag,Gadag,Karnataka
250,Gokarna,Gokarna,Karnataka
251,Hampi,Hampi,Karnataka
252,Hassan,Hassan,Karnataka
253,Haveri,Haveri,Karnataka
254,Kalaburagi,Kalaburagi,Karnataka
255,Kodagu,Kodagu,Karnataka
256,Madikeri,Kodagu,Karnataka
257,Kolar,Kolar,Karnataka
258,Koppal,Koppal,Karnataka
259,Mandya,Mandya,Karnataka
260,Mysuru,Mysuru,Karnataka
261,Raichur,Raichur,Karnataka
262,Ramanagara,Ramanagara,Karnataka
263,Shivamogga,Shivamogga,Karnataka
264,Tumakuru,Tumakuru,Karnataka
265,Udupi,Udupi,Karnataka
266,Uttara Kannada,Uttara Kannada,Karnataka
267,Hampi,Vijayanagara,Karnataka
268,Vijayanagara,Vijayanagara,Karnataka
269,Vijayapura,Vijayapura,Karnataka
270,Yadgir,Yadgir,Karnataka
271,Alappuzha,Alappuzha,Kerala
272,Ernakulam,Ernakulam,Kerala
273,Kochi,Ernakulam,Kerala
274,Munnar,Ernakulam,Kerala
275,Idukki,Idukki,Kerala
276,Munnar,Idukki,Kerala
277,Kannur,Kannur,Kerala
278,Kasaragod,Kasaragod,Kerala
279,Kochi,Kochi,Kerala
280,Kollam,Kollam,Kerala
281,Kozhikode,Kozhikode,Kerala
282,Munnar,Munnar,Kerala
283,Kovalam,Thiruvananthapuram,Kerala
284,Poovar,Thiruvananthapuram,Kerala
285,Thiruvananthapuram,Thiruvananthapuram,Kerala
286,Varkala,Thiruvananthapuram,Kerala
287,Thrissur,Thrissur,Kerala
288,Kalpetta,Wayanad,Kerala
289,Wayanad,Wayanad,Kerala
290,Changthang,Changthang,Ladakh
291,Kargil,Kargil,Ladakh
292,Leh,Leh,Ladakh
293,Nubra,Nubra,Ladakh
294,Kadmat,Kadmat,Lakshadweep
295,Kavaratti,Kavaratti,Lakshadweep
296,Bhopal,Bhopal,Madhya Pradesh
297,Burhanpur,Burhanpur,Madhya Pradesh
298,Chhatarpur,Chhatarpur,Madhya Pradesh
299,Datia,Datia,Madhya Pradesh
300,Dhar,Dhar,Madhya Pradesh
301,Gwalior,Gwalior,Madhya Pradesh
302,Jabalpur,Jabalpur,Madhya Pradesh
303,Kanha,Mandla,Madhya Pradesh
304,Mandu,Mandu,Madhya Pradesh
305,Morena,Morena,Madhya Pradesh
306,Pachmarhi,Narmadapuram,Madhya Pradesh
307,Orchha,Orchha,Madhya Pradesh
308,Pachmarhi,Pachmarhi,Madhya Pradesh
309,Panna,Panna,Madhya Pradesh
310,Raisen,Raisen,Madhya Pradesh
311,Sheopur,Sheopur,Madhya Pradesh
312,Ujjain,Ujjain,Madhya Pradesh
313,Ahilyanagar,Ahilyanagar,Maharashtra
314,Shirdi,Ahmednagar,Maharashtra
315,Akola,Akola,Maharashtra
316,Amravati,Amravati,Maharashtra
317,Beed,Beed,Maharashtra
318,Bhandara,Bhandara,Maharashtra
319,Buldhana,Buldhana,Maharashtra
320,Chandrapur,Chandrapur,Maharashtra
