place_name,state_ut,district,city_or_town,nearest_major_city,category
Kullu Maa Vaishno Devi Temple,Himachal Pradesh,Kullu,Kullu,Kullu,Temple
Kullu Raghupur Fort,Himachal Pradesh,Kullu,Jalori Pass,Banjar,Fort
Kullu Sarwari Bazaar,Himachal Pradesh,Kullu,Sarwari,Kullu,Market
Kullu Tirthan Valley,Himachal Pradesh,Kullu,Gushaini,Banjar,Valley
Lama Dugh Trek Start Point,Himachal Pradesh,Kullu,Old Manali,Manali,Trekking
Lamadugh Top Trek,Himachal Pradesh,Kullu,Manali,Manali,Trekking
Lion King Rock Manali,Himachal Pradesh,Kullu,Manali,Manali,Viewpoint
Malana,Himachal Pradesh,Kullu,Malana,Manali,Village
Manali Deo Tibba,Himachal Pradesh,Kullu,Duhangan Valley,Manali,Mountain
Manali Goshal Village,Himachal Pradesh,Kullu,Goshal,Manali,Village
Manali Mall Road Market,Himachal Pradesh,Kullu,Manali,Manali,Market
Manali Manikaran Gurudwara,Himachal Pradesh,Kullu,Manikaran,Kullu,Spiritual
Manali Model Town Road Tibetan Market & Food,Himachal Pradesh,Kullu,Manali,Manali,Food
Manali Snow Point,Himachal Pradesh,Kullu,Manali,Manali,Nature
Manali Wildlife Sanctuary,Himachal Pradesh,Kullu,Manali,Manali,Wildlife
Manali-Leh Highway Gulaba Viewpoint,Himachal Pradesh,Kullu,Gulaba,Manali,Viewpoint
Manikaran Hindu Temples - Bholenaath Hot Spring Bath,Himachal Pradesh,Kullu,Manikaran,Kullu,Temple
Naggar Castle Manali,Himachal Pradesh,Kullu,Naggar,Naggar,Fort
Nicholas Roerich Memorial Trust - Museum & Art Gallery,Himachal Pradesh,Kullu,Naggar,Naggar,Museum
Old Manali Bridge,Himachal Pradesh,Kullu,Old Manali,Manali,Monument
Old Manali Village Market & Food,Himachal Pradesh,Kullu,Old Manali,Manali,Food
Panduropa Flat Top Hill,Himachal Pradesh,Kullu,Manali,Manali,Nature
Rahala Waterfall Manali,Himachal Pradesh,Kullu,Rohtang Road,Manali,Waterfall
Shangarh,Himachal Pradesh,Kullu,Sainj,Mandi,Trek
Shoja,Himachal Pradesh,Kullu,Banjar,Mandi,Trek
Solang Skiing and Zipline Adventure Manali,Himachal Pradesh,Kullu,Solang,Manali,Adventure
Solang Valley Paragliding,Himachal Pradesh,Kullu,Solang,Manali,Adventure
Stone Valley View Point,Himachal Pradesh,Kullu,Gulaba,Manali,Viewpoint
Vashisht Baths and Temples,Himachal Pradesh,Kullu,Vashisht,Manali,Heritage
Atal Tunnel North Portal Rohtang,Himachal Pradesh,Lahaul and Spiti,Sissu,Keylong,Viewpoint
Kaza,Himachal Pradesh,Lahaul and Spiti,Kaza,Manali,Mountain
Key Monastery Spiti Valley (Kye Gompa),Himachal Pradesh,Lahaul and Spiti,Kaza,Kaza,Monastery
Keylong,Himachal Pradesh,Lahaul and Spiti,Keylong,Manali,Mountain
Barot,Himachal Pradesh,Mandi,Barot,Mandi,Trek
Dzongsar Khyentse Chokyi Lodro Monastery and College Of Dialectics,Himachal Pradesh,Mandi,Chauntra,Bir,Monastery
Janjehli,Himachal Pradesh,Mandi,Janjehli,Mandi,Trek
Prashar Lake Mandi,Himachal Pradesh,Mandi,Mandi,Mandi,Lake
Tatpani Hot Springs,Himachal Pradesh,Mandi,Tattapani,Mandi,Nature
Annandale Golf Ground and Army Heritage Museum,Himachal Pradesh,Shimla,Annandale,Shimla,Sports
Himalayan Nature Park Kufri,Himachal Pradesh,Shimla,Kufri,Shimla,Wildlife
Indira Gandhi Statue (The Ridge Shimla),Himachal Pradesh,Shimla,The Ridge,Shimla,Monument
Jakhu Hill and Hanuman Temple Park,Himachal Pradesh,Shimla,Jakhu,Shimla,Temple
Narkanda,Himachal Pradesh,Shimla,Narkanda,Shimla,Trek
Shimla Mall Road & Gaiety Theatre,Himachal Pradesh,Shimla,Shimla,Shimla,Heritage
Mall Road Shimla,Himachal Pradesh,Shimla,Shimla,Chandigarh,Heritage
Kufri,Himachal Pradesh,Shimla,Shimla,Chandigarh,Hill Station
Rohtang Pass,Himachal Pradesh,Kullu,Manali,Kullu,Mountain Pass
Kasol,Himachal Pradesh,Kullu,Manali,Kullu,Hill Station
Kinnaur,Himachal Pradesh,Kinnaur,Chitkul,Shimla,Hill Station
Reckong Peo,Himachal Pradesh,Kinnaur,Chitkul,Shimla,Hill Station
Kullu,Himachal Pradesh,Kullu,Manali,Kullu,Hill Station
Tabo Monastery,Himachal Pradesh,Spiti,Spiti,Spiti,Monastery
Dhankar Monastery,Himachal Pradesh,Spiti,Spiti,Spiti,Monastery
Nako Lake,Himachal Pradesh,Kinnaur,Chitkul,Shimla,Lake
Sissu,Himachal Pradesh,Lahaul,Lahaul,Lahaul,Hill Station
Tosh,Himachal Pradesh,Kullu,Manali,Kullu,Hill Station
Jakhu Temple,Himachal Pradesh,Shimla,Shimla,Chandigarh,Temple
Naldehra,Himachal Pradesh,Shimla,Shimla,Chandigarh,Hill Station
Chail,Himachal Pradesh,"Sirmaur, Hill Station",Nahan,Chandigarh,Hill Station
Andretta,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Heritage
Hidimba Temple,Himachal Pradesh,Manali,Manali,Manali,Temple
Pin Valley National Park,Himachal Pradesh,Spiti,Spiti,Spiti,Wildlife
Rewalsar,Himachal Pradesh,Mandi,Barot,Mandi,Lake
Kullu Dussehra,Himachal Pradesh,Kullu,Manali,Kullu,Heritage
Manali Nature Park,Himachal Pradesh,Kullu,Manali,Kullu,Recreation
